tm52083,tt0157183,7.6,4175.0,3.996,7.4
tm9898,tt0140399,7.6,3056.0,5.577,6.9
tm326102,tt0286907,4.8,129.0,1.221,6.0
tm12482,tt0114231,5.4,3901.0,4.396,5.0
tm128925,tt0126234,6.5,6199.0,5.065,6.6
tm52871,tt0211634,6.2,3025.0,2.471,5.7
ts28516,tt0289649,9.0,2326.0,6.971,8.8
tm62385,tt0216817,6.2,8454.0,4.91,6.0
tm184502,tt0110222,7.6,18224.0,5.028,6.6
tm7810,tt0102537,5.5,341.0,1.603,6.0
tm27601,tt0222270,6.1,7556.0,6.39,6.6
tm8687,NULL,NULL,NULL,2.545,6.0
tm47530,tt0151121,6.4,3567.0,2.862,6.5
tm105716,tt0172234,5.5,2837.0,2.947,7.0
tm117873,tt0110076,7.5,20986.0,6.655,6.5
tm189773,tt0137100,5.4,2177.0,5.307,5.5
tm7032,tt0102058,6.9,365.0,3.192,6.2
tm58893,tt0164550,5.5,7557.0,6.309,6.0
tm340430,tt0192087,6.6,351.0,1.023,4.0
tm184326,tt0106655,7.8,3490.0,3.444,7.3
tm110225,tt0136153,4.5,2322.0,2.135,5.2
tm34391,tt9230920,7.3,161.0,2.211,8.5
tm21911,tt0249934,6.6,272.0,1.37,6.0
tm118438,tt0109134,6.6,6465.0,3.143,7.1
tm62176,tt0206921,6.1,5413.0,2.852,6.8
tm57169,tt0287570,7.8,1092.0,3.291,6.9
tm184224,tt0938331,7.8,166.0,2.935,5.5
tm44776,tt0196355,5.9,987.0,0.981,5.9
tm104933,tt0938333,6.7,115.0,2.328,5.8
tm203186,tt0243174,8.2,74.0,1.174,6.7
tm256669,tt0107060,6.1,784.0,2.345,6.7
tm117840,tt0110545,6.5,998.0,3.436,5.6
tm334788,tt0267130,4.5,198.0,0.6,5.0
tm110160,tt0139872,7.9,2528.0,3.988,7.4
tm192301,tt0282003,6.7,1212.0,1.729,6.6
tm110766,tt0115895,6.9,718.0,1.958,6.7
tm118256,tt0111780,3.6,142.0,2.755,4.0
tm64729,tt0938332,6.2,65.0,1.822,5.3
tm314602,tt0112916,5.0,248.0,2.741,7.5
tm25389,tt0248012,6.0,4168.0,3.297,6.3
tm42397,tt0233856,4.6,4230.0,2.239,5.3
tm210754,NULL,NULL,NULL,1.844,7.5
tm449775,tt0170416,5.9,66.0,1.406,5.0
tm255589,NULL,NULL,NULL,1.439,5.3
ts4,tt0903747,9.5,1727694.0,337.419,8.8
ts9,tt1520211,8.2,945125.0,773.19,8.1
ts26091,tt0388644,7.8,21531.0,14.185,7.7
ts11,tt1606375,8.7,197744.0,57.029,8.1
ts21469,tt0413573,7.6,293618.0,1215.393,8.3
ts288536,tt1877368,8.6,9564.0,10.825,7.7
ts6495,tt0452046,8.1,189191.0,401.416,8.3
ts22337,tt0364845,7.8,141049.0,254.207,7.6
ts8308,tt1439629,8.5,252564.0,48.311,8.0
ts22011,tt1094229,8.4,15743.0,68.46,8.3
ts21465,tt0460681,8.5,428639.0,406.666,8.3
tm33545,tt0800039,7.1,280121.0,18.358,6.5
tm172683,tt0407304,6.5,439027.0,38.657,6.5
ts17156,tt0367279,8.7,297552.0,54.388,8.1
ts20573,tt0487831,8.5,147409.0,27.917,8.1
ts12724,tt0496424,8.3,121514.0,34.689,7.4
ts3371,tt0417299,9.3,297336.0,61.284,8.7
tm92641,tt1375666,8.8,2268288.0,109.09,8.4
tm102740,tt1386588,6.6,263019.0,50.29,6.3
tm87484,tt0892769,8.1,719717.0,71.782,7.8
ts20604,tt0758745,8.7,64449.0,32.434,8.0
tm39030,tt0381061,8.0,644336.0,41.332,7.5
tm78592,tt0465538,7.2,163878.0,11.418,6.7
ts21511,tt1751105,7.6,20708.0,49.715,8.1
ts19036,tt0235918,7.2,38046.0,151.92,7.7
tm116324,tt0322802,6.6,92305.0,30.13,6.3
ts32186,tt0367413,6.1,4577.0,104.486,7.5
ts11313,tt0877057,9.0,302147.0,104.037,8.7
tm34310,tt0196229,6.5,260975.0,19.411,6.2
ts21247,tt1405406,7.7,310776.0,463.661,8.3
tm160815,tt0367594,6.6,465995.0,156.231,7.0
tm78671,tt0896798,6.1,41052.0,9.202,6.0
tm89036,tt0366551,7.0,193053.0,15.067,6.5
tm86803,tt1285016,7.8,681286.0,33.023,7.3
tm105329,tt0257044,7.7,263212.0,17.73,7.4
ts20305,tt0409591,8.4,93980.0,362.73,8.4
tm35463,tt0221027,7.5,255099.0,19.789,7.4
tm84371,tt0822854,7.2,329417.0,42.882,7.1
tm139658,tt0319061,8.0,435503.0,21.904,7.8
tm79442,tt0440963,8.0,627009.0,25.464,7.4
tm131038,tt1152836,7.0,297525.0,111.535,6.7
ts2230,tt0391576,5.6,17843.0,12.812,5.3
tm154187,tt0988045,7.6,620154.0,28.317,7.2
tm133767,tt0314331,7.6,474176.0,21.297,7.1
tm88738,tt0376541,7.2,215678.0,55.362,6.8
ts17942,tt0353049,8.8,62140.0,13.557,8.1
tm148270,tt0337741,6.7,120400.0,15.068,6.6
tm93055,tt1375670,5.9,247229.0,95.229,6.3
tm133374,tt0878804,7.6,323939.0,63.816,7.7
tm26897,tt0830515,6.6,441023.0,30.147,6.3
tm109304,tt0298130,7.1,341888.0,37.892,6.6
ts22267,tt0290988,8.6,41791.0,26.26,8.0
tm76066,tt0758758,8.1,611379.0,15.658,7.8
tm90190,tt1403865,7.6,333378.0,16.059,7.3
tm997728,NULL,NULL,NULL,0.055091,9.0
tm29737,tt0462499,7.0,228799.0,58.435,6.6
tm84906,tt0486655,7.6,269043.0,17.538,7.2
ts6644,tt1526318,8.5,23523.0,21.761,8.1
tm142086,tt0325710,7.8,429097.0,33.643,7.5
ts22018,tt0972534,6.7,38281.0,96.149,8.0
ts30311,tt1604099,6.9,24224.0,76.049,8.2
tm95252,tt1037705,6.8,312538.0,25.45,6.8
tm136808,tt0340770,7.3,240433.0,16.442,7.2
ts21197,tt1199099,7.9,80138.0,123.15,7.9
tm195620,NULL,NULL,NULL,4.147341,9.8
tm109137,tt0892791,6.3,200354.0,89.833,6.3
tm84613,tt0427327,6.7,128190.0,11.48,6.7
tm173551,tt0121164,7.3,265023.0,96.975,7.5
tm94606,tt1228987,7.1,120208.0,24.49,6.8
tm136308,tt0340855,7.3,149218.0,16.951,7.2
tm82985,tt0364751,5.8,47049.0,13.29,5.5
tm145593,tt0285823,6.3,160449.0,14.895,6.3
tm150260,tt0844471,6.9,226225.0,54.58,6.6
ts30313,tt1530541,8.3,4764.0,8.297,7.0
tm119111,tt0187738,6.7,214461.0,50.32,6.5
